# Title: January 2020 - December 2024 Contiguous U.S. County Precipitation
# Units: Inches
# Missing: -99
# Note: Period of Record: 126 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,292.78,25.06,115,267.72
AL-003,Baldwin County,Alabama,309.72,-0.75,63,310.47
AL-005,Barbour County,Alabama,285.86,23.65,118,262.21
AL-007,Bibb County,Alabama,286.59,10.45,94,276.14
AL-009,Blount County,Alabama,308.36,29.95,119,278.41
AL-011,Bullock County,Alabama,289.78,28.9,122,260.88
AL-013,Butler County,Alabama,292.79,14.09,100,278.7
AL-015,Calhoun County,Alabama,286.06,18.65,106,267.41
AL-017,Chambers County,Alabama,296.57,29.69,120,266.88
AL-019,Cherokee County,Alabama,298.64,30.34,119,268.3
AL-021,Chilton County,Alabama,292.51,21.56,109,270.95
AL-023,Choctaw County,Alabama,302.31,17.2,103,285.11
AL-025,Clarke County,Alabama,297.02,7.12,81,289.9
AL-027,Clay County,Alabama,316.05,36.36,118,279.69
AL-029,Cleburne County,Alabama,296.41,26.27,116,270.14
AL-031,Coffee County,Alabama,287.68,5.93,83,281.75
AL-033,Colbert County,Alabama,304.29,36.23,114,268.06
AL-035,Conecuh County,Alabama,295.84,5.44,78,290.41
AL-037,Coosa County,Alabama,315.75,42.43,121,273.32
AL-039,Covington County,Alabama,291.57,-2.27,67,293.84
AL-041,Crenshaw County,Alabama,294.25,17.07,104,277.18
AL-043,Cullman County,Alabama,311.01,30.1,118,280.91
AL-045,Dale County,Alabama,282.65,9.67,82,272.98
AL-047,Dallas County,Alabama,274.86,10.67,92,264.19
AL-049,DeKalb County,Alabama,308.73,30.86,115,277.87
AL-051,Elmore County,Alabama,308.5,40.83,123,267.67
AL-053,Escambia County,Alabama,297.71,-5.01,60,302.72
AL-055,Etowah County,Alabama,294.27,21.54,108,272.73
AL-057,Fayette County,Alabama,313.77,31.49,113,282.28
AL-059,Franklin County,Alabama,316.02,42.16,115,273.86
AL-061,Geneva County,Alabama,298.47,11.56,88,286.91
AL-063,Greene County,Alabama,295.83,30.57,118,265.26
AL-065,Hale County,Alabama,282.76,13.91,101,268.85
AL-067,Henry County,Alabama,284.79,17.18,102,267.61
AL-069,Houston County,Alabama,291.16,19.5,102,271.66
AL-071,Jackson County,Alabama,309.53,35.6,112,273.93
AL-073,Jefferson County,Alabama,299.29,21.28,108,278.01
AL-075,Lamar County,Alabama,309.71,34.31,114,275.4
AL-077,Lauderdale County,Alabama,298.68,28.35,106,270.33
AL-079,Lawrence County,Alabama,300.61,33.15,114,267.46
AL-081,Lee County,Alabama,301.85,39.92,122,261.93
AL-083,Limestone County,Alabama,297.03,28.06,109,268.97
AL-085,Lowndes County,Alabama,287.7,25.58,117,262.12
AL-087,Macon County,Alabama,295.72,36.72,125,259
AL-089,Madison County,Alabama,306.31,34.23,113,272.08
AL-091,Marengo County,Alabama,271.85,0.6,74,271.25
AL-093,Marion County,Alabama,322.88,44.42,118,278.46
AL-095,Marshall County,Alabama,302.75,30.43,115,272.32
AL-097,Mobile County,Alabama,318.19,4.63,68,313.56
AL-099,Monroe County,Alabama,292.25,5.75,81,286.5
AL-101,Montgomery County,Alabama,299.84,38.7,124,261.14
AL-103,Morgan County,Alabama,299.01,28.77,112,270.24
AL-105,Perry County,Alabama,272.03,3.95,79,268.08
AL-107,Pickens County,Alabama,309.69,42.06,119,267.63
AL-109,Pike County,Alabama,289.01,16.53,103,272.48
AL-111,Randolph County,Alabama,297.15,23.3,118,273.85
